年份,气温/°C,滑动均值
1880,-0.17,-0.17
1881,-0.09,-0.13
1882,-0.11,-0.123
1883,-0.17,-0.135
1884,-0.28,-0.164
1885,-0.33,-0.196
1886,-0.31,-0.24
1887,-0.36,-0.29
1888,-0.18,-0.292
1889,-0.11,-0.258
1890,-0.35,-0.262
1891,-0.22,-0.244
1892,-0.27,-0.226
1893,-0.31,-0.252
1894,-0.31,-0.292
1895,-0.23,-0.268
1896,-0.12,-0.248
1897,-0.11,-0.216
1898,-0.28,-0.21
1899,-0.18,-0.184
1900,-0.09,-0.156
1901,-0.16,-0.164
1902,-0.29,-0.2
1903,-0.38,-0.22
1904,-0.48,-0.28
1905,-0.27,-0.316
1906,-0.23,-0.33
1907,-0.4,-0.352
1908,-0.44,-0.364
1909,-0.49,-0.366
1910,-0.44,-0.4
1911,-0.45,-0.444
1912,-0.38,-0.44
1913,-0.36,-0.424
1914,-0.16,-0.358
1915,-0.15,-0.3
1916,-0.37,-0.284
1917,-0.47,-0.302
1918,-0.31,-0.292
1919,-0.29,-0.318
1920,-0.28,-0.344
1921,-0.2,-0.31
1922,-0.29,-0.274
1923,-0.27,-0.266
1924,-0.28,-0.264
1925,-0.23,-0.254
1926,-0.11,-0.236
1927,-0.22,-0.222
1928,-0.21,-0.21
1929,-0.37,-0.228
1930,-0.16,-0.214
1931,-0.1,-0.212
1932,-0.16,-0.2
1933,-0.29,-0.216
1934,-0.13,-0.168
1935,-0.2,-0.176
1936,-0.15,-0.186
1937,-0.03,-0.16
1938,-0.01,-0.104
1939,-0.02,-0.082
1940,0.12,-0.018
1941,0.18,0.048
1942,0.06,0.066
1943,0.08,0.084
1944,0.2,0.128
1945,0.09,0.122
1946,-0.08,0.07
1947,-0.03,0.052
1948,-0.11,0.014
1949,-0.11,-0.048
1950,-0.18,-0.102
1951,-0.07,-0.1
1952,0.01,-0.092
1953,0.08,-0.054
1954,-0.13,-0.058
1955,-0.14,-0.05
1956,-0.19,-0.074
1957,0.05,-0.066
1958,0.06,-0.07
1959,0.03,-0.038
1960,-0.03,-0.016
1961,0.06,0.034
1962,0.03,0.03
1963,0.05,0.028
1964,-0.2,-0.018
1965,-0.11,-0.034
1966,-0.06,-0.058
1967,-0.02,-0.068
1968,-0.08,-0.094
1969,0.05,-0.044
1970,0.03,-0.016
1971,-0.08,-0.02
1972,0.01,-0.014
1973,0.16,0.034
1974,-0.07,0.01
1975,-0.01,0.002
1976,-0.1,-0.002
1977,0.18,0.032
1978,0.07,0.014
1979,0.16,0.06
1980,0.26,0.114
1981,0.32,0.198
1982,0.14,0.19
1983,0.31,0.238
1984,0.16,0.238
1985,0.12,0.21
1986,0.18,0.182
1987,0.32,0.218
1988,0.39,0.234
1989,0.27,0.256
1990,0.45,0.322
1991,0.41,0.368
1992,0.22,0.348
1993,0.23,0.316
1994,0.31,0.324
1995,0.44,0.322
1996,0.33,0.306
1997,0.46,0.354
1998,0.61,0.43
1999,0.38,0.444
2000,0.39,0.434
2001,0.53,0.474
2002,0.63,0.508
2003,0.61,0.508
2004,0.53,0.538
2005,0.68,0.596
2006,0.64,0.618
2007,0.66,0.624
2008,0.54,0.61
2009,0.65,0.634
2010,0.72,0.642
2011,0.61,0.636
2012,0.64,0.632
2013,0.68,0.66
2014,0.75,0.68
2015,0.9,0.716
2016,1.01,0.796
2017,0.92,0.852
2018,0.85,0.886
2019,0.98,0.932
2020,1.01,0.954
2021,0.85,0.922
2022,0.89,0.916
2023,1.17,0.98
2024,1.28,1.04
