年份,温度异常/°C,海平面/mm
1993,0.23,-32.9
1994,0.31,-28.32
1995,0.44,-24.21
1996,0.33,-23.63
1997,0.46,-19.02
1998,0.61,-20.59
1999,0.38,-18.64
2000,0.39,-13.36
2001,0.53,-7.2
2002,0.63,-5.64
2003,0.61,-3.56
2004,0.53,-1.69
2005,0.68,2.96
2006,0.64,4.38
2007,0.66,5.14
2008,0.54,7.43
2009,0.65,12.4
2010,0.72,13.73
2011,0.61,13.09
2012,0.64,23.99
2013,0.68,26.29
2014,0.75,30.06
2015,0.9,40.98
2016,1.01,42.57
2017,0.92,42.63
2018,0.85,46.21
2019,0.98,53.7
2020,1.01,54.49
2021,0.85,58.16
2022,0.89,60.5
2023,1.17,68.35
2024,1.28,72.88
